author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Олеся Филатова,realtor,https://www.cian.ru/sale/flat/300638883/,Москва,sale,flat,4,5,2,43.3,-1,0,11200000,Хорошево-Мневники,проспект Маршала Жукова,40,Народное Ополчение,
ID 143305,realtor,https://www.cian.ru/sale/flat/297485415/,Москва,sale,flat,10,17,2,45.0,-1,0,11200000,, Бачуринская,13,Коммунарка,Новая Звезда
Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/sale/flat/301036472/,Москва,sale,flat,3,12,2,38.5,-1,0,11200000,Строгино, Твардовского,10С2,Строгино,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/300667918/,Москва,sale,flat,11,22,2,43.8,-1,0,11500000,, Бачуринская,11,Коммунарка,Новая Звезда
ЛэндЛ,real_estate_agent,https://www.cian.ru/sale/flat/301740297/,Москва,sale,flat,10,12,2,53.2,-1,0,11450000,,проспект Нововатутинский,8,Коммунарка,
ID 15867135,real_estate_agent,https://www.cian.ru/sale/flat/300930025/,Москва,sale,flat,12,12,2,44.5,-1,0,11450000,Ярославский,Ярославское шоссе,8К2,Ботанический сад,
ID 73038306,real_estate_agent,https://www.cian.ru/sale/flat/300125641/,Москва,sale,flat,2,18,2,54.2,-1,0,11700000,,проезд Чечерский,134к1,Бунинская аллея,Новое Бутово
ТАНДЕМ,real_estate_agent,https://www.cian.ru/sale/flat/298481554/,Москва,sale,flat,5,9,2,37.5,-1,0,11890000,Можайский, Багрицкого,3К1,Кунцевская,
Октава-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301635400/,Москва,sale,flat,4,9,2,38.0,-1,0,11990000,Северное Измайлово,15-я Парковая ,44к1,Щёлковская,
МОЯ СТОЛИЦА,real_estate_agent,https://www.cian.ru/sale/flat/294510839/,Москва,sale,flat,4,5,2,35.3,-1,0,11999999,Богородское,переулок Алымов,13,Преображенская площадь,
Правовой центр жилья-эстейт,real_estate_agent,https://www.cian.ru/sale/flat/301301347/,Москва,sale,flat,4,4,2,48.5,-1,0,11900000,, Харлампиева,16,Филатов Луг,Спортивный квартал
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299255479/,Москва,sale,flat,7,14,2,52.0,-1,0,12100000,,бульвар Скандинавский,23к1,Потапово,Скандинавия
Business Leader,real_estate_agent,https://www.cian.ru/sale/flat/301086902/,Москва,sale,flat,9,9,2,44.0,-1,0,12000000,Нижегородский,3-я Карачаровская ,12К1,Стахановская,
